artist,song,year,genre,lyrics,popularity
Backstreet Boys,Show Me the Meaning of Being Lonely,1999,pop,"[Intro: All]
Show me the meaning of being lonely

[Verse 1: Brian &amp; AJ]
So many words for the broken heart
It is hard to see in a crimson love
So hard to breathe
Walk with me, and maybe
Nights of light so soon become
Wild and free I could feel the sun
Your every wish will be done
They tell me

[Chorus: All]
Show me the meaning of being lonely
Is this the feeling I need to walk with
Tell me why I cannot be there where you are?
There is something missing in my heart

[Verse 2: Kevin &amp; Nick]
Life goes on as it never ends
Eyes of stone observe the trends
They never say forever gaze upon me
Guilty roads to an endless love (endless love)
There is no control, are you with me now?
Your every wish will be done
They tell me
[Chorus: All]
Show me the meaning of being lonely
Is this the feeling I need to walk with (tell me why)
Tell me why I cannot be there where you are?
There is something missing in my heart

[Bridge: Howie, All &amp; Brian]
There is nowhere to run
I have no place to go
Surrender my heart, body, and soul
How can it be you are asking me
To feel the things you never show?
You are missing in my heart
Tell me why can't I be there where you are?

[Chorus: All, Brian &amp; Nick]
Show me the meaning of being lonely
Is this the feeling I need to walk with (tell me why)
Tell me why I cannot be there where you are? (where you are)
There is something missing in my heart
(You are missing from my heart)
Show me the meaning of being lonely (being lonely)
Is this the feeling I need to walk with
Tell me why I cannot be there where you are? (where you are)
There is something missing in my heart",75
Samantha Mumba,Gotta Tell You,2018,pop,"[Intro]
Yeah, yeah, yeah, yeah, yeah

[Verse 1]
Your love for me came as a waterfall
Flowin' inside me like never before
Your love for me, somethin' I didn't see
But baby, I know better now
When you walked in the room that very night
A special feelin' just burst inside
There was only you, nobody else
But baby, I know better now

[Chorus]
Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now, but it wouldn't be right
If I didn't tell you this tonight
Yeah, yeah, yeah, yeah, yeah

[Verse 2]
And now you're back inside my house again
I'm tryin' deeper to explain
'Cause baby, I wanna get it on
And baby, you're the one for me
But now that I have got you all alone
After all this talkin' on the phone
I should be strong, there's nothing wrong
I'll tell you this is where you belong, where you belong
[Chorus]
Don't wanna love you if you don't love me (If you don't love me)
Don't wanna need you when you won't need me too
Don't wanna tell you this now, but it wouldn't be right
If I didn't tell you this tonight
Don't wanna love you if you don't love me (If you don't love me)
Don't wanna need you when you won't need me too
Don't wanna tell you this now, but it wouldn't be right
If I didn't tell you this tonight

[Bridge]
It was just something in your eyes
That made me realize
But now I hear voices deep inside
Tellin' me, tellin' me
It's you and I

[Chorus]
Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now, but it wouldn't be right
If I didn't tell you this tonight
Don't wanna love you if you don't love me (If you don't love me)
Don't wanna need you when you won't need me too
Don't wanna tell you this now, but it wouldn't be right
If I didn't tell you this tonight",61
Mary Mary,Shackles (Praise You),2000,R&B,"[Spoken Intro: Warryn Campbell]
Whew, it sure is hot out here, you know
I don't mind, though
I'm just glad to be free, you know what I'm saying?
Uh...

[Chorus: Mary Mary + (Warryn Campbell)]
Take the shackles off my feet so I can dance
I just wanna praise You
(What you wanna do?)
I just wanna praise You
(Yeah, yeah)
You broke the chains now I can lift my hands
(Feel me?)
And I'm gonna praise You
(What you gonna do?)
I'm gonna praise You

[Verse 1: Erica Campbell]
In the corners of my mind
I just can't seem to find
A reason to believe
That I can break free
Cause you see I have been bound for so long
Felt like all hope was gone
But as I lift my hands
I understand
That I should praise You through my circumstance
[Chorus: Mary Mary]
Take the shackles off my feet so I can dance
(So I can dance)
I just wanna praise You
(Just wanna praise You)
I just wanna praise You
(Just wanna praise You)
You broke the chains now I can lift my hands
(I can lift my hands)
And I'm gonna praise You
I'm gonna praise You

[Verse 2: Tina Campbell]
Everything that could go wrong
All went wrong at one time
So much pressure fell on me
I thought I was gon' lose my mind
Lord, I know You wanna see
If I will hold on through these trials
But I need You to lift this load
'Cause I can't take it no more

[Chorus: Mary Mary]
Take the shackles off my feet so I can dance
(So I can dance)
I just wanna praise You
I just wanna praise You
(yeah)
You broke the chains now I can lift my hands
(Oh yeah)
And I'm gonna praise You
(I'm gonna...)
I'm gonna praise You
(I'm gonna praise You)
[Bridge: Mary Mary]
Been through the fire and the rain
Bound in every kind of way
But God has broken every chain
So let me go right now

[Chorus: Mary Mary]
Take the shackles off my feet so I can dance
(So I can dance y'all)
I just wanna praise You
I just wanna praise You
(I wanna praise You)
I wanna praise You
You broke the chains now I can lift my hands
(I can lift my hands)
And I'm gonna praise You
(Praise You, praise You)
I'm gonna praise You
(Praise You, yeah)

Take the shackles off my feet so I can dance
I just wanna praise You
I just wanna praise You
(Yeah, yeah)
You broke the chains now I can lift my hands
(I can lift my hands)
And I'm gonna praise You
(Praise You)
I'm gonna praise You
(Come on, dance with me)
Take the shackles off my feet so I can dance
I just wanna praise You
I just wanna praise You
You broke the chains now I can lift my hands
And I'm gonna praise You
I'm gonna praise You

Yeah, yeah, yeah

[Outro: Warryn Campbell + Mary Mary]
Take 'em off, take 'em off
What You gonna do?
Yeah, yeah
You broke the chains now I can lift my hands
Broke all the chains
I'm gonna praise You
What You gonna do?
I'm gonna praise You",65
Next,Wifey,2004,"hip hop, pop, R&B","[Hook: R.L.]
You never try me
Always stood right by me
Make living lively highly
Spoken of, my only love, the only one
You're my wifey
Make my life complete
Sweet—but you know when to flip it street
Freak—but only when it comes to me
See—that’s why you’re my wifey

[Verse 1: T-Low]
This you should know
'Cause you had my mind blown, oh, oh
Da jump, at the club on bump, like what
I had to have you babe
Saw you outside, passenger side
'Cause I let my best friend drive
You was in line
That's when you caught my eyes girl

[Pre-Chorus: R.L. &amp; T-Low]
You were so beautiful, girl (Beautiful)
It was so critical, girl (So critical)
You looked so crucial, girl
Something about you is everything
You are mine
[Hook]
You never try me
Always stood right by me
Make living lively highly
Spoken of, my only love, the only one
You're my wifey
Make my life complete
Sweet—but you know when to flip it street
Freak—but only when it comes to me
See—that’s why you’re my wifey

[Verse 2: R. L.]
You know you're sexy too
I like your attitude
I ain't even mad at you
Girl, you're still my boo
Either braids or weave
Skirt or jeans, you're still my queen
Baby-girl, go do your thing
I'm so glad you're on my team

[Pre-Chorus: R.L.]
You are so beautiful, girl
It is so critical, girl
You look so crucial, girl
Something about you is everything
You are mine
[Hook]
You never try me
Always stood right by me
Make living lively highly
Spoken of, my only love, the only one
You're my wifey
Make my life complete
Sweet—but you know when to flip it street
Freak—but only when it comes to me
See—that’s why you’re my wifey

[Bridge 1: R.L.]
Someone I can spend my life with
Leave the keys to the Benz
Wedding band with the gems
You're someone I feel all right with
Someone to have my kids
The one I can depend on

[Hook]
You never try me
Always stood right by me
Make living lively highly
Spoken of, my only love, the only one
You're my wifey
Make my life complete
Sweet—but you know when to flip it street
Freak—but only when it comes to me
See—that’s why you’re my wifey
[Bridge 2: R.L.]
Skinny designer fit real jiggy
Ain't afraid to hump with me when we get busy
Ride out, I licky-licky 'til I get dizzy
Toes done, fresh scent, I think it's sizzy
Hoes, none, she was the one down with me
Used to struggle, now we bubble, countin' G's with me
Pop the champagne, let's take a sippy-sippy
Describe you, I try to
You're my wifey

[Outro: R.L. &amp; (Lil Mo)]
Will you be my wifey?
(Yes, I'll be your wifey)
Say you'll be my wifey
(Yeah, yeah-yeah, yeah-yeah-yeah, yeah, yeah, yeah-yeah-yeah)
Will you be my wifey?
(Yes, I'll be your wifey)
Say you'll be my wifey
(Yeah, yeah-yeah, yeah-yeah-yeah, yeah, yeah, yeah-yeah-yeah)",63
Oasis,Go Let It Out,2000,"Folk/Acoustic, rock","[Verse 1]
Paint no illusion, try to click with whatcha got
Taste every potion 'cause if yer like yerself a lot
Go let it out, go let it in, go let it out

[Verse 2]
Life is precocious in a most peculiar way
Sister psychosis don't got a lot to say
She go let it out, she go get it in, she go let it out
She go let it out, she go get it in, she go let it out

[Chorus 1]
Is it any wonder why princes and kings
Are clowns that caper in their sawdust rings
'Cause ordinary people that are like you and me
We're the keepers of their destiny

[Verse 3]
I'm goin' leaving this city, I'm goin' driving outta town
You're comin' with me, the right time is always now
To go let it out, go let it in, go let it out
To go let it out, go let it in, go let it out

[Chorus 2]
Is it any wonder why princes and kings
Are clowns that caper in their sawdust rings
Ordinary people that are like you and me
We're the builders of their destiny
We're the builders of their destiny
We're the builders of their destiny
We're the builders of their destiny
[Outro]
So go let it out, go let it in
Go let it out, don't let it in
Go let it out, go let it in
Go let it out, don't let it, don't let it in",58
DJ Ötzi,Hey Baby (Radio Mix),2010,"pop, easy listening, Dance/Electronic","Hey, hey hey baby!
I want to know if you'll be my girl
Hey, hey hey baby!
I want to know if you'll be my girl
When I saw you walking down the street
I said that's a kind of girl I'd like to meet
She's so pretty, Lord she's fine
I'm gonna make her mine, all mine
Hey, hey hey baby!
I want to know if you'll be my girl
When you turned and walked away
Thats when I want to say
C'mon baby, give me a whirl
I want to know if you'll be my girl
Hey, hey hey baby!
I want to know if you'll be my girl
When you turned and walked away
Thats when I want to say
C'mon baby, give me a whirl
I want to know if you'll be my girl
Hey, hey hey baby!
I want to know if you'll be my girl
Hey, hey hey hey hey, baby
C'mon, baby now",61
Craig David,Fill Me In,2000,"hip hop, pop, R&B","[Intro]
I got something to say, something to say
Alright (Can you feel me?)
Come on
Can you fill me in?
What you want? What you want me to do, baby?
Can you fill me in?
Let's talk about it

[Verse 1]
I was checking this girl next door when her parents went out
She phoned said, ""Hey boy, come on right around""
So I knock at the door
You was standin' with a bottle of red wine, ready to pour
Dressed in long black satin and lace to the floor
So I went in, then we sat down start kissing, caressing
Told me about Jacuzzi, sounded interesting
So we jumped right in
All calls diverted to answer phone
Please leave a message after the tone
I mean me and her parents were kind of cool
But they were the fine line between me and you
We were just doing things young people in love do
Parents tryna find out what we were up to

[Chorus]
Saying, ""Why were you creeping 'round late last night?
Why did I see two shadows moving in your bedroom light?
Now you're dressed in black
When I left, you were dressed in white
Can you fill me in?""
Calls diverted to answer phone
Red wine bottle, half the contents gone
Midnight return, Jacuzzi turned on
Can you fill me in? (It's another one, it's another one)
[Verse 2]
Whenever the coast was clear and she'd ask me to come out
I'd say, ""Hey girl, come on right around""
So she knocked at the door
I was standing with the keys in my hand to the four by four
Jumped in my ride, checkin' that nobody saw
The club we went in
We got down bounced- bounced to the rhythm
Saw it was early morning
Thought we'd better be leavin'
So I gave you my jacket for you to hold
Told you to wear it 'cause you felt cold
I mean me and her didn't mean to break the rules
I weren't trying to play your mum and dad for fools
We were just doing things young people in love do
Parents tryna find out what we were up to

[Chorus]
Saying, ""Why can't you keep your promises no more?
Say you'll be home by twelve, come strolling in at four?
Out went the girls, but leaving with the boy next door
Can you fill me in?
Wearing a jacket, who's property
Said you'd been queuing for a taxi
But you left all your money on the TV (Can you tell me?)
Can you fill me in? (Can you fill me in?)""
[Bridge]
All they seem to do is be checking up on you, baby
Watchin' our every move
Think some day they might approve, baby

[Chorus]
""Why were you creeping 'round late last night?
Why did I see two shadows moving in your bedroom light?
Now you're dressed in black
When I left, you were dressed in white
Can you fill me in? (Can you fill me in?)""
Calls diverted to answer phone
Red wine bottle, half the contents gone
Midnight return, Jacuzzi turned on
Can you fill me in? (Can you fill me in?)",64
Christina Aguilera,I Turn to You,1999,pop,"[Verse 1]
When I'm lost in the rain
In your eyes I know I'll find the light
To light my way
And when I'm scared
And losing ground
When my world is going crazy
You can turn it all around
And when I'm down you're there
Pushing me to the top
You're always there
Giving me all you've got

[Chorus]
For a shield from the storm
For a friend, for a love
To keep me safe and warm
I turn to you
For the strength to be strong
For the will to carry on
For everything you do
For everything that's true
I turn to you

[Verse 2]
When I lose the will to win
I just reach for you and
I can reach the sky again
I can do anything
'Cause your love is so amazing
'Cause your love inspires me
And when I need a friend
You're always on my side
Giving me faith
Taking me through the night
[Chorus]
For a shield from the storm
For a friend, for a love
To keep me safe and warm
I turn to you
For the strength to be strong
For the will to carry on
For everything you do
I turn to you

[Bridge]
For the arms to be my shelter
Through all the rain
For truth that will never change
For someone to lean on
For a heart I can rely on through anything
For that one who I can run to...

[Chorus]
For a shield from the storm
For a friend, for a love
To keep me safe and warm
I turn to you
For the strength to be strong
For the will to carry on
For everything you do
For everything that's true
I turn to you
[Outro]
For everything you do
For everything that's true
I turn to you",63
Craig David,7 Days,2000,"hip hop, pop, R&B","[Intro]
You know what?
Got something to say
Craig David
7 days
Check it out, yeah

[Verse 1]
On my way to see my friends
Who lived a couple blocks away from me (Oh)
As I walked through the subway
It must have been about quarter past three
In front of me
Stood a beautiful honey with a beautiful body (Body)
She asked me for the time
I said it'd cost her a name
A six digit number and a date with me tomorrow at nine

[Pre-Chorus]
Did she decline? No
Didn't she mind? I don't think so
Was it for real? Damn sure
What was the deal? A pretty girl, age 24
So was she keen? She couldn't wait
Cinnamon queen? Let me update
What did she say?
She said she'd, ""Love to rendezvous""
She asked me, ""What we were gonna do?""
Said we'd start with a bottle of Moet for two
[Chorus]
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday

[Verse 2]
Nine was the time
'Cause I'll be getting mine
And she was looking fine
Smooth talker
She told me
She'd love to unfold me all night long
Ooh, I loved the way she kicked it
From the front to back she flipped it
(Back she flipped it, the way she kicked it)
And I oh-oh I yeah
Hope that she'd care
'Cause I'm a man who'll always be there (Oh yeah)

[Pre-Chorus]
I'm not a man to play around, baby (Oh yeah)
'Cause a one night stand isn't really fair
From the first impression girl, hmm, you don't seem to be like that
'Cause there's no need to chat 'for there'll be plenty time for that
From the subway to my home
Endless ringing off my phone
When you feeling all alone
All you gotta do
Is just call me, call me
[Chorus]
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday

[Bridge]
(Break it down, break it down)
Since I met this special lady
Ooh yeah
I can't get her off my mind
She's one of a kind
And I ain't about to deny it
It's a special kind of thing
With you, oh

[Chorus]
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
(Sunday, Sunday, Sunday, Sunday)",75
P!nk,There You Go,2000,pop,"[Verse 1]
Please don't come around talking about that you love me
Because that love shit just is not for me
And I don't wanna hear that you adore me
And I know that all you're doing is running your mind games
Don't you know my game beats these games?
So your best bet is to be straight with me
So you say you wanna talk, let's talk
If you won't talk, I'll walk
Yeah, it's like that
I got a new man, he's waiting out back
Now what, whatcha think about that?
Now when I say I'm through, I'm through
Basically, I'm through with you
Whatcha wanna say, had to have it your way, had to play games
Now you're begging me to stay

[Chorus]
There you go, looking pitiful
Just because I let you go
There you go, talking 'bout you want me back
But sometimes it be's like that, so
There you go, talking 'bout you miss me so, that you love me so, why I let you go
There you go because your lies got old
Look at you, there you go
[Verse 2]
Please don't come around talking about how you changed
How you said good-bye to what's her name
All it sounds like to me is new game
And I was right when I thought I'd be much better off without you
Had to get myself from 'round you, because my life was all about you
So you say you wanna talk, I don't
Say you wanna change, I won't
Yeah, it's like that
Had your chance, won't take you back
Now what, what you think about that?
And when I say I'm through, I'm through
Basically I'm through with you
What you wanna say
Had to have it your way, had to play games, now you're begging me to stay

[Chorus]
There you go, looking pitiful
Just because I let you go
There you go, talking 'bout you want me back
But sometimes it be's like that, so
There you go, talking 'bout you miss me so, that you love me so, why I let you go
There you go because your lies got old
Look at you, there you go

[Bridge]
Oh, don't you wish you could turn the hands of time
Don't you wish you still were mine?
Don't you wish I'd take you back?
Don't you wish that things were simple like that, oh?
Didn't miss a good thing till it's gone
But I knew it wouldn't be long, till you came running back
Missing my love, there you go
[Chorus]
There you go, looking pitiful
Just because I let you go
There you go, talking 'bout you want me back
But sometimes it be's like that, so
There you go, talking 'bout you miss me so, that you love me so, why I let you go
There you go because your lies got old
Look at you, there you go
There you go, looking pitiful
Just because I let you go
There you go, talking 'bout you want me back
But sometimes it be's like that, so
There you go, talking 'bout you miss me so, that you love me so, why I let you go
There you go because your lies got old
Look at you, there you go
There you go, looking pitiful
Just because I let you go
There you go, talking 'bout you want me back
But sometimes it be's like that, so
There you go, talking 'bout you miss me so, that you love me so, why I let you go
There you go because your lies got old
Look at you, there you go

[Outro]
So there you go, there you go",58
3 Doors Down,Kryptonite,2000,"pop, rock, metal","[Verse 1]
Well, I took a walk around the world to ease my troubled mind
I left my body lying somewhere in the sands of time
But I watched the world float to the dark side of the moon
I feel there's nothing I can do, yeah

[Verse 2]
I watched the world float to the dark side of the moon
After all I knew, it had to be something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end

[Chorus]
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there and holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite

[Verse 3]
You called me strong, you called me weak
But still your secrets, I will keep
You took for granted all the times, I never let you down
You stumbled in and bumped your head
If not for me then you'd be dead
I picked you up and put you back on solid ground
[Chorus]
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there and holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite

[Interlude]

[Chorus]
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite, yeah
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there and holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite

[Outro]
Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa",84
Mystikal,Shake Ya Ass,2000,"hip hop, pop","[Intro: Mystikal]
Mmm! Mmm, mmm, mmm
Oooh-OOOH!

[Chorus: Mystikal]
Shake ya ass, but watch yourself
Shake ya ass, show me what you working with

[Verse 1: Mystikal]
I came here with my dick in my hand
Don't make me leave here with my foot in yo' ass; be cool
And don't worry bout how I'm ripping this shit
When I'm flipping what I'm kicking nigga, that's just what I do
I'm effervescent and I'm off that crescent
Nastier than a full grown German Shepherd; motherfucker keep stepping
They don't fuck with me and they don't
Y'all bitches can't catch me and you won't
Pay ya fare, fix your hair, throw that pussy
Got a Prada for bonapalies, and Donna for my babooski
You think I'm tricking? Bitch, I ain't trippin
I'm buyin if you got nice curves for your iceberg
Drinkin Henn and acting like it do something to me
Hope this indecent proposal make you do somethin with me
Fuck a dollar girl, pick up fifty
And fuck that coward, girl, you need a real nigga
Off top knick-a-boxers hurting shit
Bend over ho; show me what you workin with!
[Chorus: Mystikal]
Shake ya ass, but watch yourself
Shake ya ass, show me what you working with

[Bridge: Pharrell Williams &amp; Mystikal]
Attention all y'all players and pimps
Right now in the place to be (shake ya ass)
I thought I told y'all niggas before
Y'all niggas can't fuck with me (watch yourself)
Now this ain't for no small booties
No sir cause that won't pass (show me whatcha workin with)
But if you feel you got the biggest one
Then momma come shake ya ass

[Chorus: Mystikal]
Shake ya ass, but watch yourself
Shake ya ass, show me what you working with

[Verse 2: Mystikal]
I like my women fire like CAY-ENNE!!
Chocolate and bowlegged - when I'm runnin up behind her!!
Go head do your job, pop the lock, let the cock out
For girl don't lie you know you wanna go back to my house
""The Man Right Chea"" wanna get under that dress right there
You spicy cajun we gon' a good time over there
You better suck the head on them there crawfish
And you gotta bend all the way over to dance off this
Handle yo' business but I know you do it way better, you dead wrong
So if you talking bout how niggas make noise when you pass by
Get yo' fine ass on the floor girl this yo' fuckin song!
Do yo' thang dont be scared, cause you gon' get served
You get mine then you gon' get yours
Bout to make yo' ass love it
Raise it up, show the G-string hustling hustling
[Bridge: Pharrell Williams &amp; Mystikal]
Attention all y'all players and pimps
Right now in the place to be (shake ya ass)
I thought I told y'all niggas before
Y'all niggas can't fuck with me (watch yourself)
Now this ain't for no small booties
No sir cause that won't pass (show me whatcha workin with)
But if you feel you got the biggest one
Then momma come shake ya ass

[Chorus: Mystikal]
Shake ya ass, but watch yourself
Shake ya ass, show me what you working with

[Verse 3: Mystikal]
Stop yo' cryin heffer, I don't need all that
I got a job for you - the braided up pimp is back
Break them handcuffs, fuck you nigga move something
And if they ask you what you doin say, ""Ooohh nuttin!""
And we been doin for the past 2 somethin
And I've been beatin that pussy up not smooth fucking
You can betcha bottom dollar; if that pussy fire
You gon' holla Michael Tyler!
So don't act like you don't be backin that stuff up
Girl in the club, cause that's what you got ass for
Wobble wobble I'm infatuated
Bitch ride a dick like she making a baby
And I see that we gon' have to go to a quiet corner for just us two an'
Don't worry about who looking, just keep on doing what you doing
Cause a nigga like me gon' get to work before I know the girl
Bitch what's happening, let 'em see, show the world!
[Bridge: Pharrell Williams &amp; Mystikal]
Attention all y'all players and pimps
Right now in the place to be (shake ya ass)
I thought I told y'all niggas before
Y'all niggas can't fuck with me (watch yourself)
Now this ain't for no small booties
No sir cause that won't pass (show me whatcha workin with)
But if you feel you got the biggest one
Then momma come shake ya ass

[Chorus: Mystikal]
Shake ya ass, but watch yourself
Shake ya ass, show me what you working with

[Outro: Mystikal]
Uhh.. OOOH-WEE! Good lawd!
Damn!",60
